               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030461,            0.014776,           0.0024619,             0.89046,             0.80406,              0.8693,             0.59198,            0.031346,            0.009281,           0.0027005,             0.00307,             0.00307,             0.00307
                  37,            0.030159,            0.014687,           0.0022624,             0.90973,             0.79212,             0.87596,             0.60878,            0.030274,           0.0090084,           0.0020391,            0.002872,            0.002872,            0.002872
                  38,            0.029509,            0.014428,           0.0019973,             0.87512,             0.81994,             0.87536,             0.61142,            0.030594,           0.0089959,           0.0017549,            0.002674,            0.002674,            0.002674
                  39,            0.029332,            0.014346,           0.0019366,             0.89997,             0.83025,             0.88057,             0.60679,            0.030796,           0.0088945,           0.0010568,            0.002476,            0.002476,            0.002476
                  40,            0.028572,            0.013909,           0.0018164,             0.88361,             0.82938,             0.87774,             0.60873,            0.030915,           0.0088797,           0.0011538,            0.002278,            0.002278,            0.002278
                  41,            0.028646,            0.014142,           0.0018468,             0.88409,             0.81671,             0.87766,             0.61328,             0.03039,           0.0088636,           0.0015193,             0.00208,             0.00208,             0.00208
                  42,            0.028194,             0.01386,           0.0015894,              0.9112,             0.80976,             0.87855,             0.61214,            0.030753,           0.0088137,           0.0015852,            0.001882,            0.001882,            0.001882
                  43,            0.027921,            0.013968,           0.0016821,             0.87764,             0.83103,             0.88388,             0.61385,            0.030268,           0.0089369,           0.0010865,            0.001684,            0.001684,            0.001684
                  44,            0.027772,             0.01388,           0.0014747,             0.87731,             0.83309,             0.88225,             0.61908,             0.03017,           0.0087894,           0.0016364,            0.001486,            0.001486,            0.001486
                  45,            0.027463,            0.013656,            0.001475,             0.88924,             0.81623,             0.87996,             0.61868,            0.030228,           0.0088843,           0.0021602,            0.001288,            0.001288,            0.001288
                  46,            0.027435,            0.013387,           0.0015284,              0.8944,             0.82858,             0.88143,             0.62422,            0.030007,           0.0088705,           0.0014032,             0.00109,             0.00109,             0.00109
                  47,            0.027147,            0.013564,           0.0013897,             0.88871,             0.84329,              0.8846,             0.62062,            0.030312,           0.0088277,           0.0015367,            0.000892,            0.000892,            0.000892
                  48,            0.027077,            0.013485,           0.0012662,             0.89731,             0.82566,             0.88378,             0.62652,            0.029936,           0.0088114,           0.0012658,            0.000694,            0.000694,            0.000694
                  49,            0.027251,            0.013186,           0.0011956,             0.88115,             0.83634,             0.88087,             0.62881,            0.029782,           0.0088378,            0.001521,            0.000496,            0.000496,            0.000496
