               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029973,            0.014421,           0.0021091,              0.8881,             0.80769,             0.87309,             0.60562,            0.030629,           0.0088332,           0.0023651,             0.00307,             0.00307,             0.00307
                  37,            0.029737,             0.01434,           0.0018613,             0.89104,             0.79917,             0.87537,             0.60568,            0.030372,           0.0089206,           0.0019956,            0.002872,            0.002872,            0.002872
                  38,            0.028964,            0.014068,           0.0017893,              0.8741,             0.81689,             0.86733,             0.60532,            0.030692,           0.0089714,           0.0020514,            0.002674,            0.002674,            0.002674
                  39,            0.028952,            0.013896,           0.0017417,             0.87094,             0.82907,             0.87383,             0.61231,            0.030587,           0.0090151,           0.0019536,            0.002476,            0.002476,            0.002476
                  40,            0.028215,            0.013597,            0.001709,             0.89608,             0.81469,             0.87527,             0.61294,            0.029914,           0.0088268,           0.0028008,            0.002278,            0.002278,            0.002278
                  41,            0.028171,             0.01379,           0.0016795,              0.8863,             0.83222,             0.87445,             0.60859,            0.029601,           0.0087756,           0.0028106,             0.00208,             0.00208,             0.00208
                  42,            0.027707,            0.013621,           0.0014571,             0.88664,             0.81451,             0.87206,             0.61416,             0.03002,           0.0088265,           0.0026379,            0.001882,            0.001882,            0.001882
                  43,            0.027645,            0.013708,           0.0014759,               0.898,              0.8036,             0.86872,              0.6137,            0.029911,           0.0089019,           0.0025061,            0.001684,            0.001684,            0.001684
                  44,            0.027441,            0.013538,           0.0012494,             0.86627,              0.8204,             0.87126,             0.61321,             0.03005,           0.0088653,           0.0025046,            0.001486,            0.001486,            0.001486
                  45,            0.026935,            0.013364,            0.001455,             0.87834,             0.83309,             0.87606,             0.61922,            0.029833,            0.008849,           0.0021807,            0.001288,            0.001288,            0.001288
                  46,            0.026943,            0.013111,           0.0013737,             0.89832,             0.81983,             0.87836,             0.62215,            0.029791,           0.0088911,           0.0022034,             0.00109,             0.00109,             0.00109
                  47,            0.026746,            0.013278,           0.0012865,             0.91773,             0.81508,             0.87742,             0.62058,            0.029942,           0.0087719,           0.0025058,            0.000892,            0.000892,            0.000892
                  48,            0.026641,            0.013157,           0.0011997,             0.89672,              0.8145,             0.87963,             0.62243,            0.029734,             0.00882,           0.0021217,            0.000694,            0.000694,            0.000694
                  49,            0.026858,            0.012921,           0.0010638,             0.86233,             0.83305,             0.87654,             0.62424,            0.029876,           0.0088666,           0.0021643,            0.000496,            0.000496,            0.000496
